"timestamp","$qw_message","event.provider","fly.app.instance","fly.app.name","fly.region","fly.zone","log.level","message","sort"
1764397265359,2025-11-29T06:21:05.359409412 [01K7JV6JP9BMAMR8Q64Z2VR3GM:main] Running Firecracker v1.12.1,app,4d89615f2e2638,shedulebot,sin,e2dd,info,2025-11-29T06:21:05.359409412 [01K7JV6JP9BMAMR8Q64Z2VR3GM:main] Running Firecracker v1.12.1,1764397265000000000
1764397264291,[    4.034556] reboot: Restarting system,app,4d89615f2e2638,shedulebot,sin,e2dd,info,[    4.034556] reboot: Restarting system,1764397264000000000
1764397264232,[32m INFO[0m Starting clean up.,app,4d89615f2e2638,shedulebot,sin,e2dd,info,[32m INFO[0m Starting clean up.,1764397264000000000
1764397264215,[32m INFO[0m Main child exited normally with code: 1,app,4d89615f2e2638,shedulebot,sin,e2dd,info,[32m INFO[0m Main child exited normally with code: 1,1764397264000000000
1764397263569,IndexError: tuple index out of range,app,4d89615f2e2638,shedulebot,sin,e2dd,info,IndexError: tuple index out of range,1764397263000000000
1764397263569,~~~~~~~~~~~~~~~~~~^^^,app,4d89615f2e2638,shedulebot,sin,e2dd,info,                          ~~~~~~~~~~~~~~~~~~^^^,1764397263000000000
1764397263569,"day_of_week="","".join([self._CRON_MAPPING[d] for d in days]),",app,4d89615f2e2638,shedulebot,sin,e2dd,info,"    day_of_week="","".join([self._CRON_MAPPING[d] for d in days]),",1764397263000000000
1764397263569,"File ""/usr/local/lib/python3.11/site-packages/telegram/ext/_jobqueue.py"", line 610, in <listcomp>",app,4d89615f2e2638,shedulebot,sin,e2dd,info,"  File ""/usr/local/lib/python3.11/site-packages/telegram/ext/_jobqueue.py"", line 610, in <listcomp>",1764397263000000000
1764397263569,^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,app,4d89615f2e2638,shedulebot,sin,e2dd,info,                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,1764397263000000000
1764397263565,"day_of_week="","".join([self._CRON_MAPPING[d] for d in days]),",app,4d89615f2e2638,shedulebot,sin,e2dd,info,"    day_of_week="","".join([self._CRON_MAPPING[d] for d in days]),",1764397263000000000
1764397263564,"File ""/usr/local/lib/python3.11/site-packages/telegram/ext/_jobqueue.py"", line 610, in run_daily",app,4d89615f2e2638,shedulebot,sin,e2dd,info,"  File ""/usr/local/lib/python3.11/site-packages/telegram/ext/_jobqueue.py"", line 610, in run_daily",1764397263000000000
1764397263564,shedule_update.run_daily(,app,4d89615f2e2638,shedulebot,sin,e2dd,info,    shedule_update.run_daily(,1764397263000000000
